"","mean","sd","2.5%","97.5%","n_eff","Rhat"
"a_temp[1]",0.0725119506574844,0.0555607086808692,-0.0362520302893449,0.180096080047725,240.059399663524,1.00020763819901
"a_temp[2]",-1.38389184317868,0.0761303969318827,-1.53204189091009,-1.23256439308258,215.106435311359,1.00093124970261
"a_temp[3]",-0.300960960422603,0.0819387962988988,-0.459651094177579,-0.142762716543952,163.567892048529,1.00181585183471
"a_temp[4]",-1.52042766681826,0.0542857246424618,-1.62477572505373,-1.41222993324511,2626.09193772963,0.999939510106146
"a_temp[5]",-0.9215888714281,0.124516881478424,-1.15556111503393,-0.679384931155948,142.201611514847,1.00343850006877
"a_temp[6]",0.182404830927491,0.0528588038779812,0.0769808175622348,0.282146031782259,368.99904917524,1.00171401054333
"a_temp[7]",0.550754733003237,0.0998917229069203,0.358727891871597,0.743967409922573,149.825106593707,1.00309785298203
"a_temp[8]",-1.13104491511198,0.0496096897131465,-1.22609197223343,-1.03369496670596,2497.40808398419,0.999131158442194
"a_temp[9]",-1.13855532531371,0.147813897496456,-1.42450834853539,-0.849685347757582,119.158345282406,1.00283857883578
"a_temp[10]",-0.639134899159307,0.0448113169120899,-0.723763830900985,-0.553402159409757,1659.91496278635,1.00023435542326
"a_temp[11]",-0.391660281041555,0.136829546951582,-0.646475099074392,-0.131477930462279,126.526278057989,1.00342484293285
"a_temp[12]",-0.613492194208251,0.0451260017894251,-0.704701523513068,-0.526179103855122,885.445378534776,0.999530707816484
"a_temp[13]",-0.733622626776003,0.149504290713923,-1.00841308948709,-0.439882553736134,122.96996140672,1.00375257582575
"a_temp[14]",-0.505475872241038,0.0443984612409375,-0.59288222180282,-0.417584612186677,1042.50724132226,1.00082553556075
"a_temp[15]",-0.768549876978192,0.134793161688426,-1.02419004712961,-0.505516074529237,127.301417228795,1.00406427169576
"a_temp[16]",0.344450075111134,0.0547702232875785,0.240520633660743,0.454127556472459,266.621612557912,1.00114990743067
"a_temp[17]",0.772382468363775,0.146100288103347,0.494183851873643,1.05417585461403,131.645848566991,1.00233131537853
"a_temp[18]",2.4078165126995,0.109130312670364,2.20502629070252,2.62757065740246,280.204083407609,1.00186616249973
"a_temp[19]",0.1607808902907,0.0546168487472939,0.0542943335704947,0.268423850666069,231.837582920962,1.00165198647508
"a_temp[20]",6.07309997104192,0.497170952418088,5.20086895422627,7.13803747838219,1330.73759492214,1.00183088787256
"a_temp[21]",3.00407650622784,0.1098120962391,2.79430249429268,3.22617320432039,940.977810415017,0.999400461514013
"a_temp[22]",0.077071721173723,0.0611209774610609,-0.0412396366893077,0.196456413983209,220.59383142492,1.00410506526404
"a_temp[23]",-2.12323095619678,0.0957599536849916,-2.30852587507301,-1.94148690052117,221.741500456627,1.0020951486837
"a_temp[24]",0.572907652644805,0.0440121213339179,0.486064959755044,0.655292069807898,5256.00521394078,0.999352827271289
"a_temp[25]",0.839700142873123,0.0759365481539292,0.698290481634748,0.987125423061049,171.763042111424,1.00049076418117
"a_temp[26]",0.650223206792806,0.0449175184212938,0.560812534351346,0.739063477185265,5825.3362576,0.999047535491688
"a_temp[27]",0.575107650937866,0.0666228038728207,0.443630746188419,0.70937471074274,221.705810254286,1.00138313511522
"a_temp[28]",-0.0215062560834443,0.0424711188729384,-0.104295646980138,0.062721332194541,3557.50902627817,0.999815643511506
"a_temp[29]",0.729989628514687,0.0892280186667354,0.562850558039484,0.908349665208542,173.624723557561,1.00168530588125
"a_temp[30]",1.78880917095237,0.0589903769020594,1.6751924350385,1.90435761840765,5117.16456899852,0.999431874551374
"a_temp[31]",2.33011428901693,0.0950649181576816,2.14656971113149,2.5163072749847,398.7863041134,1.00049058601432
"a_temp[32]",2.38770194893813,0.0833690664989747,2.23001075367745,2.55248061708792,1452.99611810512,0.999159977574887
"a_temp[33]",-1.49665528629536,0.0552936484411925,-1.60555875416089,-1.38828702333532,3518.74344646546,0.999455611896447
"delta[1]",2.93743169563835,0.0951444272066026,2.75742410067281,3.13100492200829,4496.10101969228,0.99908137448739
"delta[2]",2.84371254755052,0.0745962767459785,2.69778759895226,2.99035951257343,3727.69921368635,0.999256496877627
"delta[3]",2.79692727010562,0.139519173448174,2.52650907988022,3.07621338753661,6321.60825890393,0.999225513283995
"delta[4]",1.70013321799985,0.0590819422878084,1.58493966190447,1.82161427141919,4674.712097558,0.999140879384999
"delta[5]",2.58383176070548,0.115760786826584,2.36799187851509,2.82393646705324,3730.03257155432,0.999502234313177
"delta[6]",2.1974489542113,0.315550766564209,1.62983951741504,2.88072287805447,4542.49771751601,0.999834214538561
"delta[7]",1.95023662736229,0.0544907637912231,1.84802528301948,2.05770397798031,3043.43309692632,0.99939519296925
"delta[8]",2.85053207803275,0.111436109609452,2.63151607008655,3.07228665221855,5787.5168026163,0.999615668526069
"delta[9]",2.25126542017157,0.0803333425654312,2.10128631203868,2.41864172151539,3277.48605737948,0.999584690452731
"delta[10]",3.70237753516041,0.14949426426022,3.4206158015552,4.01204228258823,6177.90983520229,0.999350180232854
"delta[11]",1.49592770563232,0.0520519555524817,1.39669800417406,1.60157209616969,4093.88401487876,0.999528691892981
"delta[12]",2.76081301068658,0.169542336031682,2.44312922529347,3.10772008158189,4345.15984834275,0.999947634689831
"delta[13]",1.73523205296326,0.0651838906882246,1.61198641170082,1.86514464753189,4060.73032674318,0.999239605294771
"delta[14]",2.90228982811258,0.16656277365027,2.59870469900303,3.23173527624967,5333.26351918745,0.999040912586814
"delta[15]",1.72973566746665,0.0491543738118236,1.63400743928908,1.82851838966087,2882.6569342723,1.00033030288773
"delta[16]",1.65834133155637,0.0649961954663675,1.53170123203717,1.7925842032131,5144.48079398173,0.99917060415788
"delta[17]",2.60015005283665,0.0935879634331971,2.416546443995,2.78504741894407,3890.26951184519,0.999057319780074
"delta[18]",2.52873004041034,0.101554625059098,2.33063172005631,2.73519368250382,4350.28103656376,0.999314480023985
"delta[19]",1.82285635921884,0.0514596018371736,1.72605348463771,1.92579991383338,4468.40812446771,0.999850230981986
"delta[20]",2.12149134393384,0.106455827592652,1.91840661586447,2.33450154268018,5043.4039454731,0.999064057101988
"delta[21]",2.48909014395594,0.0826944518640473,2.33172714358208,2.64444462021085,3969.10352657023,0.999008926949437
"delta[22]",2.28560728149676,0.10241336469364,2.08657103791462,2.48510152393716,5535.10862054274,0.999101228879744
"delta[23]",1.60102803887929,0.0466136027497942,1.50985679315671,1.69382216042268,3684.71912549965,0.999297105357674
"delta[24]",1.75292480265013,0.083181601807363,1.59498750518952,1.91591006792101,4596.17957293196,0.99934817589757
"delta[25]",2.54052309360863,0.0925972755823837,2.37142927718093,2.72100580722376,4213.11130155423,0.999553052562592
"delta[26]",2.1854772056275,0.0929928878915014,2.01226234931892,2.38076888003955,5654.70677920613,0.999364589389399
"delta[27]",3.6123713545449,0.318954416139076,3.01493146180329,4.30364471527486,4684.16035218805,0.999239763402124
"delta[28]",1.53618222008664,0.0474343285326504,1.44351285190671,1.62901536068866,5448.74574919604,0.999162179622405
"delta[29]",1.67200706639456,0.0771823304682713,1.52582820129863,1.82608097581846,5421.19349855329,0.999108473198921
"delta[30]",2.29787014885348,0.0799885992806342,2.14570854254073,2.46087640102237,4079.41885549659,0.999979264396938
"delta[31]",2.42696804361972,0.0940188395056342,2.24205436063785,2.60764463145521,6026.24578016066,0.999544384078996
"delta[32]",2.39021048377913,0.218376286051091,1.98167271998715,2.86357922703302,5014.63785905545,0.999022206777303
"delta[33]",1.85525907932799,0.0630588099785373,1.73528764210429,1.98211638895663,5049.17658551899,0.99923760529111
"delta[34]",1.83653851763986,0.130458508070371,1.59593959467251,2.10333623150742,4956.43485397579,0.999628290812241
