"","3.15a","3.15b","3.16a","3.16b","3.17a","3.17b","3.17c","3.17d","3.17e","3.18"
"3.15a",1,0.0359457928619542,0.47389687863403,0.0142012569061712,0.420974962649917,0.0617002186208812,0.270305502967802,0.0521025576629179,0.224918753484028,0.39761894797403
"3.15b",0.0359457928619542,1,-0.0148020424320127,0.0344178892619092,-0.0430408555614906,0.0852273390990985,0.03697083181213,-0.0029914587058051,0.0464305435309452,0.0952857008975249
"3.16a",0.47389687863403,-0.0148020424320127,1,0.0637611741670774,0.352112967051324,-0.0126700652582029,0.222643683521819,0.0155787026645345,0.217131092262736,0.313420383179282
"3.16b",0.0142012569061712,0.0344178892619092,0.0637611741670774,1,-0.0522486979798653,0.0167451829352908,0.00355866214799315,0.0183444166406262,0.0586581162648822,0.0467418340551186
"3.17a",0.420974962649917,-0.0430408555614906,0.352112967051324,-0.0522486979798653,1,0.0307523163187884,0.332338167085998,0.053595181960442,0.19557667452642,0.451199317827167
"3.17b",0.0617002186208812,0.0852273390990985,-0.0126700652582029,0.0167451829352908,0.0307523163187884,1,0.0473394909837393,0.0473395945243487,0.0876532890883338,0.174328784966353
"3.17c",0.270305502967802,0.03697083181213,0.222643683521819,0.00355866214799315,0.332338167085998,0.0473394909837393,1,0.043282863781512,0.189548608820181,0.343618521325559
"3.17d",0.0521025576629179,-0.0029914587058051,0.0155787026645345,0.0183444166406262,0.053595181960442,0.0473395945243487,0.043282863781512,1,0.052420281921587,0.10055614373822
"3.17e",0.224918753484028,0.0464305435309452,0.217131092262736,0.0586581162648822,0.19557667452642,0.0876532890883338,0.189548608820181,0.052420281921587,1,0.294917411200571
"3.18",0.39761894797403,0.0952857008975249,0.313420383179282,0.0467418340551186,0.451199317827167,0.174328784966353,0.343618521325559,0.10055614373822,0.294917411200571,1
